Quote	CIK	priorto(YYYYMMDD)	Count
WMT	0000104169	20161202	10
AAPL	0000320193	20161202	10
GE	0000040545	20161202	10
F	0000037996	20161202	10
CVS	0000064803	20161202	10
MCK	0000927653	20161202	10
T	0000732717	20161202	10
VLO	0001035002	20161202	10
UNH	0000731766	20161202	10
VZ	0000732712	20161202	10
ABC	0001140859	20161202	10
FNMA	0000310522	20161202	10
HPQ	0000047217	20161202	10
KR	0000056873	20161202	10
JPM	0000019617	20161202	10
ESRX	0001532063	20161202	10
BAC	0000070858	20161202	10
IBM	0000051143	20161202	10
MPC	0001510295	20161202	10
BA	0000012927	20161202	10
C	0000831001	20161202	10
WFC	0000072971	20161202	10
MSFT	0000789019	20161202	10
PG	0000080424	20161202	10
HD	0000354950	20161202	10
WBA	0001618921	20161202	10
TGT	0000027419	20161202	10
ANTM	0001156039	20161202	10
MET	0001099219	20161202	10
FMCC	0001026214	20161202	10
UTX	0000101829	20161202	10
UPS	0001090727	20161202	10
DOW	0000029915	20161202	10
AET	0001122304	20161202	10
LOW	0000060667	20161202	10
COP	0001163165	20161202	10
CAT	0000018230	20161202	10
PRU	0001137774	20161202	10
PFE	0000078003	20161202	10
DIS	0001001039	20161202	10
EPD	0001061219	20161202	10
CSCO	0000858877	20161202	10
IM	0001018003	20161202	10
LMT	0000936468	20161202	10
FDX	0001048911	20161202	10
MRK	0000310158	20161202	10
BBY	0000764478	20161202	10
DAL	0000027904	20161202	10
HON	0000773840	20161202	10
GS	0000886982	20161202	10
TSO	0000050104	20161202	10
TSN	0000100493	20161202	10
SWY	0000086144	20161202	10
NFS	0001029786	20161202	10
DE	0000315189	20161202	10
MDLZ	0001103982	20161202	10
INTL	0000913760	20161202	10
HAL	0000045012	20161202	10
FOXA	0001308161	20161202	10
MMM	0000066740	20161202	10
GD	0000040533	20161202	10
PUSH	0000081061	20161202	10
PM	0001413329	20161202	10
TJX	0000109198	20161202	10
TWX	0001105705	20161202	10
NKE	0000320187	20161202	10
TECD	0000790703	20161202	10
MCD	0000063908	20161202	10
TRV	0000086312	20161202	10
QCOM	0000804328	20161202	10
IP	0000051434	20161202	10
OXY	0000797468	20161202	10
GILD	0000882095	20161202	10
BHI	0000808362	20161202	10
EMC	0000790070	20161202	10
UNP	0000100885	20161202	10
NOC	0001133421	20161202	10
AA	0000004281	20161202	10
NOV	0001021860	20161202	10
RTN	0001047122	20161202	10
AFL	0000004977	20161202	10
SPLS	0000791519	20161202	10
ABT	0000001800	20161202	10
CYH	0001108109	20161202	10
FCX	0000831259	20161202	10
KMB	0000055785	20161202	10
HES	0000004447	20161202	10
CHK	0000895126	20161202	10
AMGN	0000318154	20161202	10
ABBV	0001551152	20161202	10
PBF	0001534504	20161202	10
HFC	0000048039	20161202	10
LLY	0000059478	20161202	10
PGR	0000080661	20161202	10
IEP	0000813762	20161202	10
KSS	0000885639	20161202	10
PCAR	0000075362	20161202	10
HIG	0000874766	20161202	10
LUV	0000092380	20161202	10
APC	0000773910	20161202	10
KRFT	0001545158	20161202	10
GT	0000042582	20161202	10
EOG	0000821189	20161202	10
GIS	0000040704	20161202	10
CAG	0000023217	20161202	10
X	0001163302	20161202	10
PCG	0001004980	20161202	10
NEE	0000753308	20161202	10
AEP	0000004904	20161202	10
BAX	0000010456	20161202	10
PNC	0000713676	20161202	10
ODP	0000800240	20161202	10
BMY	0000014272	20161202	10
NRG	0001013871	20161202	10
PPG	0000079879	20161202	10
GPC	0000040987	20161202	10
OMC	0000029989	20161202	10
ITW	0000049826	20161202	10
MUSA	0001573516	20161202	10
WNR	0001339048	20161202	10
LVS	0001300514	20161202	10
K	0000055067	20161202	10
CBS	0000813828	20161202	10
WM	0000823768	20161202	10
SNX	0001177394	20161202	10
MAR	0001048286	20161202	10
PH	0000076334	20161202	10
WCG	0001279363	20161202	10
MMC	0000062709	20161202	10
ED	0001047862	20161202	10
MA	0001141391	20161202	10
HRL	0000048465	20161202	10
AVP	0000008868	20161202	10
RSG	0001060391	20161202	10
STI	0000750556	20161202	10
CAR	0000723612	20161202	10
RAI	0001275283	20161202	10
ORLY	0000898173	20161202	10
PETM	0000863157	20161202	10
HII	0001501585	20161202	10
LYV	0001335258	20161202	10
OSK	0000775158	20161202	10
CE	0001306830	20161202	10
BTU	0001064728	20161202	10
OI	0000812074	20161202	10
LVLT	0000794323	20161202	10
WEC	0000783325	20161202	10
R	0000085961	20161202	10
SNDK	0001000180	20161202	10
ROK	0001024478	20161202	10
DAN	0000026780	20161202	10
NCR	0000070866	20161202	10
NCR	0000070866	20161202	10
OCR	0000353230	20161202	10
CVC	0001053112	20161202	10
EME	0000105634	20161202	10
FIS	0001136893	20161202	10
BKS	0000890491	20161202	10
AVY	0000008818	20161202	10
NTAP	0001002047	20161202	10
IHRT	0001400891	20161202	10
IHRT	0001400891	20161202	10
DISCA	0001437107	20161202	10
HOG	0000793952	20161202	10
JBHT	0000728535	20161202	10
SCHW	0000316709	20161202	10
DPS	0001418135	20161202	10
MAT	0000063276	20161202	10
LH	0000920148	20161202	10
HRG	0000109177	20161202	10
